canonical_smiles,BindingDB Reactant_set_id,bioactivity_class,pIC50_norm
C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C=C[C@@H]4[C@]5(C[C@@]35CC[C@]12C)C[C@@H](O)[C@H](N(C)C)C4(C)C)N(C)C,50619992,inactive,4.640164517660112
CCN(CCCCCC=Nc1cc(O)c(NCCCNC(=O)CCCCC2CCSS2)cc1O)Cc1ccccc1OC,50532918,active,6.823908740944319
Cc1c(C)c(=O)oc2cc(OCC3CCN(CCCO[N+]([O-])=O)CC3)ccc12,51238260,active,6.0655015487564325
COc1cc2OC(C)(CC(=O)NCCCCCCNc3c4CCCCc4nc4ccccc34)CCc2cc1O,51386450,active,6.560667306169737
CCN(CCCCCCn1c(=O)c2cc3c(cc2c1=O)c(=O)n(CCCCCCN(CC)Cc1ccccc1OC)c3=O)Cc1ccccc1OC,50879172,active,8.113509274827518
COc1cc2CC(CC3C=CN(Cc4ccccc4C)C=C3C(C)=O)C(=O)c2cc1OC,50743897,active,6.368556230986828
CN1CC[C@H]2COc3c(O)cccc3[C@@H]12,51032783,inactive,4.399996913372259
Fc1cccc(c1)-c1cc2c(ccc3c2occ(\C=N\Nc2ccc(cc2)C(F)(F)F)c3=O)o1,51517083,inactive,4.982966660701219
COc1cc2CC(CC3CCN(Cc4cccc(C)n4)CC3)C(=O)c2cc1OC,50534765,active,7.136677139879544
Clc1ccc2c(NCCCCCCC(=O)NCCc3c[nH]c4ccccc34)c3CCCCc3nc2c1,15402,active,10.0
COc1cc2cc(-c3ccc(CN(CCO)Cc4ccccc4)cc3)c(=O)oc2cc1OC,50394626,active,7.309803919971486
Fc1ccc(CN2CCC(CCC(=O)c3ccc4NCCc4c3)CC2)cc1,50578186,active,7.050609993355087
CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3Cc4cccnc4Oc3c2)c1,50513388,active,8.161150909262744
FC(F)(F)C(=O)c1cnn(c1)C1CCCC1,50424456,active,8.2839966563652
C[C@@H](N1CCCCC1)c1cccc(OC(=O)N(C)C)c1,50597941,active,7.494850021680094
Brc1ccc(cc1)[N+]1=Cc2ccccc2CC1,51398100,inactive,4.978810700930062
